Session ID,Purchase.Intention,Household.income,Age ,Adults.household,Chidren.household,LFC,NB,LP,CF,Flavors,why.purchase,why.dont.purchase
225453041,,"$50,000 - $75,000",50.5,2,1,1,0,2,3,,,
225453059,3,"$100,001 - $150,000",60.5,2,0,3,0,2,1,"neopolitan, orange vanilla, fudge swirl",,no particular reason
225453061,3,"$75,001 -  $100,000",40.5,2,0,1,3,2,0,"Vanilla, Chocolate, Banana",,I usually purchase Turkey Hill because it's good quality and a great price.
225453086,1,"Over $200,000",30.5,2,0,3,1,0,2,,,I usually don't buy ice cream at Wows.
225453087,,"$50,000 - $75,000",60.5,2,0,1,2,3,0,,,
225453109,,"$150,001 - $200,000",30.5,2,0,0,3,2,1,,,
225453115,3,"$100,001 - $150,000",40.5,2,2,1,2,0,3,any chocolate variety,,We purchase the frozen yogurt instead
225453122,3,"$75,001 -  $100,000",50.5,4,2,1,0,3,2,"anything with chocolate - chunks, brownies, swirls","lower price, good quality",
225453123,2,"$150,001 - $200,000",60.5,5,0,1,2,0,3,,,probably because I'm looking for natural ingredients
225453135,,"$50,000 - $75,000",60.5,2,0,0,1,2,3,,,
225453138,,"$50,000 - $75,000",30.5,2,0,0,0,0,0,,,
225453141,2,Prefer not to say,30.5,4,0,3,1,2,0,,,There isn't a Wegmans in the area.
225453150,,"$100,001 - $150,000",50.5,2,0,0,1,2,3,,,
225453166,3,Prefer not to say,50.5,3,1,3,1,2,0,"Peach, strawberry or tri-flavor",,never saw it on sale verses the other brands
225453207,,"$150,001 - $200,000",40.5,2,2,0,2,1,3,,,
225453208,,"$100,001 - $150,000",30.5,2,0,0,3,1,2,,,
225453213,,"Under $50,000",30.5,1,0,0,0,0,0,,,
225453216,,Prefer not to say,70.5,2,0,0,2,1,3,,,
225453223,3,"$75,001 -  $100,000",30.5,3,2,3,1,2,0,Vanilla,,I actually did not know that Wows made a low fat version.
225453231,4,"Over $200,000",40.5,3,0,2,1,0,3,"Vanilla, banana-walnut, raspberry sorbet/vanilla swirl",I liked the flavor,
225453260,,Prefer not to say,50.5,2,0,3,1,1,1,,,
225453271,4,"Under $50,000",50.5,3,0,0,1,2,3,chocolate marshmallow; neopolitan,Flavor and sale price,
225453273,4,"Under $50,000",50.5,1,0,2,1,0,3,"Vanilla, French Vanilla, ",It is a name I can trust and prefer Wows low fat over the National Brand.,
225453283,4,"$100,001 - $150,000",40.5,2,0,3,0,2,1,"an equivalent to Ben & Jerry's Cherry Garcia, mint chocolate chip, french vanilla, fudge ripple, dulce de leche",liked flavor options and wanted to try it,
225453298,3,"$100,001 - $150,000",50.5,1,0,2,3,0,1,Cookie Dough!!!,,I generally don't buy store brands...
225453299,3,Prefer not to say,60.5,1,0,0,3,1,2,chocolate,to try it,
225453306,3,"$75,001 -  $100,000",50.5,4,1,2,2,0,2,coffee flavor with choc. chips in it. Mint choc. chip.  Chocolate with peanut butter.,,I like a certain flavor of the Edy's.
225453308,,"$75,001 -  $100,000",30.5,2,1,0,3,1,2,,,
225453318,,Prefer not to say,50.5,2,2,0,1,2,3,,,
225453331,4,"Over $200,000",40.5,1,0,2,2,1,1,,,
225453342,,"$75,001 -  $100,000",30.5,1,0,0,0,0,0,,,
225453343,,Prefer not to say,30.5,2,2,0,0,0,0,,,
225453345,3,"$50,000 - $75,000",30.5,4,2,0,2,3,1,"chocolate, coffee, vanilla fudge",,dont care too much about low fat.
225453347,,"$75,001 -  $100,000",50.5,2,0,0,1,2,3,,,
225453349,4,Prefer not to say,30.5,2,2,2,1,1,2,"Vanilla, Choc peanut butter, mint choc chip, black rasp, vanilla orange",price & flavor,
225453359,4,"$50,000 - $75,000",40.5,3,1,2,0,2,2,,,Unfortunately I do not live close enough to a Wegman's to shop there regularly
225453363,,"Under $50,000",30.5,2,4,0,1,3,2,,,
225453375,,"$150,001 - $200,000",60.5,1,0,0,2,1,3,,,
225453387,3,"$75,001 -  $100,000",30.5,5,1,0,1,3,2,"flavors with toppings mixed in, or with fruit mixed in.",,a national brand was less expensive
225453398,1,"$100,001 - $150,000",60.5,1,0,2,1,0,3,,,Wegman's is too far away from my home.
225453401,3,"$100,001 - $150,000",70.5,2,0,1,2,0,3,"coffe,butter pecan",tasies good,
225453403,,"$50,000 - $75,000",50.5,1,0,0,2,2,2,,,
225453479,4,"$50,000 - $75,000",50.5,5,1,0,1,3,2,"chocolate, cookie dough, choc.chip mint, strawberry, cherry/choc. chip, butter pecan, vanilla, neoplitan",Good for the price,
225453489,,"$100,001 - $150,000",40.5,2,2,0,1,3,2,,,
225453507,,"$75,001 -  $100,000",70.5,2,0,0,0,0,0,,,
225453509,,"Under $50,000",50.5,1,1,0,2,3,1,,,
225453511,4,"$150,001 - $200,000",40.5,4,2,3,0,1,2,"Vanilla bean, mint chocolate chip, chocolate marshmallow, strawberry",Flavor sounded good and it was a good price,
225453519,,"$150,001 - $200,000",40.5,2,2,2,0,3,1,,,
225453522,1,"$100,001 - $150,000",70.5,2,0,3,0,2,1,,,Store is too far from home.
225453529,3,"Under $50,000",30.5,1,0,1,3,0,2,,,
225453533,2,"$75,001 -  $100,000",30.5,2,0,1,3,2,0,,,prefer brand names
225453556,3,Prefer not to say,40.5,2,2,3,1,2,0,"chocolate brownie. vanilla peanut butter twirl, something with chocolate fudge or caramel",,I don't think of Wow's being known as an ice cream maker.
225453560,,"Over $200,000",60.5,2,0,0,2,1,3,,,
225453573,2,"Over $200,000",40.5,2,3,3,0,2,1,,,Don't get to Wows often enough
225453583,4,"$100,001 - $150,000",40.5,2,2,2,0,1,3,"Chocolate, Vanilla, Black Raspberry, Coffee/Mocha/Espresso, and flavors similar to those available by premium brands with ""stuff"" in them such as nuts, cookies, chocolate chips, etc., at least to the degree it can be done and still remain light (chocolate almond, heavenly hash, mint chocolate cookie).","Price, fat content, and Wegmans generally has good products so trust in the Wegmans name.",
225453585,3,"$150,001 - $200,000",60.5,2,0,3,2,1,0,"mint, chocolate, combo of chocolate and raspberry or cherry",,usually a national brand is on sale
225453592,3,"$100,001 - $150,000",50.5,2,3,0,2,3,1,Choc. Chip Mint; Black Rasberry; Coffee; Vanilla,,The kids like the Edys brand best.
